Rank|LRPT|Main Element|Arity|Is Canonical|Is Strictly Increasing|RPT Rank|Sequence Rank|Sequence Max Value
399|0(2, 0, 1, 0)|0|4|False|False|22|209|2
400|1(0(0), 0, 1, 0)|1|4|False|False|50|231|1
401|2(1, 0, 1, 0)|2|4|False|False|22|356|2
402|3(0, 0, 1, 0)|3|4|False|False|22|352|3
403|0(0, 0(1), 0, 0)|0|4|True|False|59|124|1
404|0(1, 2, 0, 0)|0|4|True|False|22|211|2
405|1(0, 2, 0, 0)|1|4|False|False|22|201|2
406|0(0(0), 0(0), 0, 0)|0|4|True|False|149|127|0
407|1(1, 0(0), 0, 0)|1|4|False|False|59|228|1
408|2(0, 0(0), 0, 0)|2|4|False|False|59|227|2
409|0(2, 1, 0, 0)|0|4|False|False|22|208|2
410|1(0(0), 1, 0, 0)|1|4|False|False|50|230|1
411|2(1, 1, 0, 0)|2|4|False|False|22|355|2
412|3(0, 1, 0, 0)|3|4|False|False|22|351|3
413|0(0(1), 0, 0, 0)|0|4|True|False|50|123|1
414|1(2, 0, 0, 0)|1|4|False|False|22|197|2
415|2(0(0), 0, 0, 0)|2|4|False|False|50|227|2
416|3(1, 0, 0, 0)|3|4|False|False|22|350|3
417|4(0, 0, 0, 0)|4|4|False|False|22|349|4
418|0(0, 0, 0, 0, 2)|0|5|False|False|64|247|2
419|0(0, 0, 0, 1, 0(0))|0|5|True|False|195|252|1
420|0(0, 0, 1, 0, 0(0))|0|5|True|False|195|251|1
421|0(0, 1, 0, 0, 0(0))|0|5|True|False|195|250|1
422|0(1, 0, 0, 0, 0(0))|0|5|True|False|195|249|1
423|1(0, 0, 0, 0, 0(0))|1|5|False|False|195|248|1
424|0(0, 0, 0, 0(0), 1)|0|5|True|False|194|254|1
425|0(0, 0, 1, 1, 1)|0|5|True|False|64|469|1
426|0(0, 1, 0, 1, 1)|0|5|True|False|64|463|1
427|0(1, 0, 0, 1, 1)|0|5|True|False|64|453|1
428|1(0, 0, 0, 1, 1)|1|5|False|False|64|438|1
429|0(0, 0, 0(0), 0, 1)|0|5|True|False|191|254|1
430|0(0, 1, 1, 0, 1)|0|5|True|False|64|461|1
431|0(1, 0, 1, 0, 1)|0|5|True|False|64|451|1
432|1(0, 0, 1, 0, 1)|1|5|False|False|64|436|1
433|0(0, 0(0), 0, 0, 1)|0|5|True|False|182|254|1
434|0(1, 1, 0, 0, 1)|0|5|True|False|64|448|1
435|1(0, 1, 0, 0, 1)|1|5|False|False|64|433|1
436|0(0(0), 0, 0, 0, 1)|0|5|True|False|154|254|1
437|1(1, 0, 0, 0, 1)|1|5|False|False|64|429|1
438|2(0, 0, 0, 0, 1)|2|5|False|False|64|424|2
439|0(0, 0, 0, 2, 0)|0|5|False|False|64|245|2
440|0(0, 0, 1, 0(0), 0)|0|5|True|False|194|251|1
441|0(0, 1, 0, 0(0), 0)|0|5|True|False|194|250|1
442|0(1, 0, 0, 0(0), 0)|0|5|True|False|194|249|1
443|1(0, 0, 0, 0(0), 0)|1|5|False|False|194|248|1
444|0(0, 0, 0(0), 1, 0)|0|5|True|False|191|253|1
445|0(0, 1, 1, 1, 0)|0|5|True|False|64|460|1
446|0(1, 0, 1, 1, 0)|0|5|True|False|64|450|1
447|1(0, 0, 1, 1, 0)|1|5|False|False|64|435|1
448|0(0, 0(0), 0, 1, 0)|0|5|True|False|182|253|1
449|0(1, 1, 0, 1, 0)|0|5|True|False|64|447|1
450|1(0, 1, 0, 1, 0)|1|5|False|False|64|432|1
451|0(0(0), 0, 0, 1, 0)|0|5|True|False|154|253|1
452|1(1, 0, 0, 1, 0)|1|5|False|False|64|428|1
453|2(0, 0, 0, 1, 0)|2|5|False|False|64|423|2
454|0(0, 0, 2, 0, 0)|0|5|False|False|64|242|2
455|0(0, 1, 0(0), 0, 0)|0|5|True|False|191|250|1
456|0(1, 0, 0(0), 0, 0)|0|5|True|False|191|249|1
457|1(0, 0, 0(0), 0, 0)|1|5|False|False|191|248|1
458|0(0, 0(0), 1, 0, 0)|0|5|True|False|182|252|1
459|0(1, 1, 1, 0, 0)|0|5|True|False|64|446|1
460|1(0, 1, 1, 0, 0)|1|5|False|False|64|431|1
461|0(0(0), 0, 1, 0, 0)|0|5|True|False|154|252|1
462|1(1, 0, 1, 0, 0)|1|5|False|False|64|427|1
463|2(0, 0, 1, 0, 0)|2|5|False|False|64|422|2
464|0(0, 2, 0, 0, 0)|0|5|False|False|64|238|2
465|0(1, 0(0), 0, 0, 0)|0|5|True|False|182|249|1
466|1(0, 0(0), 0, 0, 0)|1|5|False|False|182|248|1
467|0(0(0), 1, 0, 0, 0)|0|5|True|False|154|251|1
468|1(1, 1, 0, 0, 0)|1|5|False|False|64|426|1
469|2(0, 1, 0, 0, 0)|2|5|False|False|64|421|2
470|0(2, 0, 0, 0, 0)|0|5|False|False|64|233|2
471|1(0(0), 0, 0, 0, 0)|1|5|False|False|154|248|1
472|2(1, 0, 0, 0, 0)|2|5|False|False|64|420|2
473|3(0, 0, 0, 0, 0)|3|5|False|False|64|419|3
474|0(0, 0, 0, 0, 0, 0(0))|0|6|True|False|624|255|0
475|0(0, 0, 0, 0, 1, 1)|0|6|True|False|196|501|1
476|0(0, 0, 0, 1, 0, 1)|0|6|True|False|196|499|1
477|0(0, 0, 1, 0, 0, 1)|0|6|True|False|196|496|1
478|0(0, 1, 0, 0, 0, 1)|0|6|True|False|196|492|1
479|0(1, 0, 0, 0, 0, 1)|0|6|True|False|196|487|1
480|1(0, 0, 0, 0, 0, 1)|1|6|False|False|196|481|1
481|0(0, 0, 0, 0, 0(0), 0)|0|6|True|False|623|255|0
482|0(0, 0, 0, 1, 1, 0)|0|6|True|False|196|498|1
483|0(0, 0, 1, 0, 1, 0)|0|6|True|False|196|495|1
484|0(0, 1, 0, 0, 1, 0)|0|6|True|False|196|491|1
485|0(1, 0, 0, 0, 1, 0)|0|6|True|False|196|486|1
486|1(0, 0, 0, 0, 1, 0)|1|6|False|False|196|480|1
487|0(0, 0, 0, 0(0), 0, 0)|0|6|True|False|620|255|0
488|0(0, 0, 1, 1, 0, 0)|0|6|True|False|196|494|1
489|0(0, 1, 0, 1, 0, 0)|0|6|True|False|196|490|1
490|0(1, 0, 0, 1, 0, 0)|0|6|True|False|196|485|1
491|1(0, 0, 0, 1, 0, 0)|1|6|False|False|196|479|1
492|0(0, 0, 0(0), 0, 0, 0)|0|6|True|False|611|255|0
493|0(0, 1, 1, 0, 0, 0)|0|6|True|False|196|489|1
494|0(1, 0, 1, 0, 0, 0)|0|6|True|False|196|484|1
495|1(0, 0, 1, 0, 0, 0)|1|6|False|False|196|478|1
496|0(0, 0(0), 0, 0, 0, 0)|0|6|True|False|583|255|0
497|0(1, 1, 0, 0, 0, 0)|0|6|True|False|196|483|1
498|1(0, 1, 0, 0, 0, 0)|1|6|False|False|196|477|1
499|0(0(0), 0, 0, 0, 0, 0)|0|6|True|False|493|255|0
500|1(1, 0, 0, 0, 0, 0)|1|6|False|False|196|476|1
501|2(0, 0, 0, 0, 0, 0)|2|6|False|False|196|475|2
502|0(0, 0, 0, 0, 0, 0, 1)|0|7|True|False|625|510|1
503|0(0, 0, 0, 0, 0, 1, 0)|0|7|True|False|625|509|1
504|0(0, 0, 0, 0, 1, 0, 0)|0|7|True|False|625|508|1
505|0(0, 0, 0, 1, 0, 0, 0)|0|7|True|False|625|507|1
506|0(0, 0, 1, 0, 0, 0, 0)|0|7|True|False|625|506|1
507|0(0, 1, 0, 0, 0, 0, 0)|0|7|True|False|625|505|1
508|0(1, 0, 0, 0, 0, 0, 0)|0|7|True|False|625|504|1
509|1(0, 0, 0, 0, 0, 0, 0)|1|7|False|False|625|503|1
510|0(0, 0, 0, 0, 0, 0, 0, 0)|0|8|True|False|2055|511|0
511|9|9|0|False|True|0|512|9
512|0(0(0(0)))|0|1|True|True|4|15|0
513|1(3)|1|1|False|True|1|36|3
514|2(0(0, 0))|2|1|False|True|5|48|2
515|3(1(0))|3|1|False|True|2|72|3
516|4(0(1))|4|1|False|True|2|138|4
517|5(2)|5|1|False|True|1|259|5
518|6(0(0))|6|1|False|True|2|265|6
519|7(1)|7|1|False|True|1|514|7
520|8(0)|8|1|False|True|1|513|8
521|0(0, 3)|0|2|False|True|3|47|3
522|0(1, 0(0, 0))|0|2|True|True|19|59|1
523|1(0, 0(0, 0))|1|2|False|True|19|58|1
524|0(0(0), 1(0))|0|2|True|True|16|61|1
525|1(1, 1(0))|1|2|False|True|7|91|1
526|2(0, 1(0))|2|2|False|True|7|88|2
527|0(2, 0(1))|0|2|False|True|7|98|2
528|1(0(0), 0(1))|1|2|False|True|16|110|1
529|2(1, 0(1))|2|2|False|True|7|163|2
530|3(0, 0(1))|3|2|False|True|7|160|3
531|0(0(1), 2)|0|2|True|False|6|104|2
532|1(2, 2)|1|2|False|False|3|148|2
533|2(0(0), 2)|2|2|False|True|6|166|2
534|3(1, 2)|3|2|False|True|3|273|3
535|4(0, 2)|4|2|False|True|3|270|4
536|0(1(0), 0(0))|0|2|True|False|16|59|1
537|1(0(1), 0(0))|1|2|False|False|16|108|1
538|2(2, 0(0))|2|2|False|False|7|161|2
539|3(0(0), 0(0))|3|2|False|False|16|192|3
540|4(1, 0(0))|4|2|False|True|7|294|4
541|5(0, 0(0))|5|2|False|True|7|293|5
542|0(0(0, 0), 1)|0|2|True|False|15|62|1
543|1(1(0), 1)|1|2|False|False|6|92|1
544|2(0(1), 1)|2|2|False|False|6|165|2
545|3(2, 1)|3|2|False|False|3|272|3
546|4(0(0), 1)|4|2|False|False|6|296|4
547|5(1, 1)|5|2|False|False|3|526|5
548|6(0, 1)|6|2|False|True|3|524|6
549|0(3, 0)|0|2|False|False|3|44|3
550|1(0(0, 0), 0)|1|2|False|False|15|58|1
551|2(1(0), 0)|2|2|False|False|6|87|2
552|3(0(1), 0)|3|2|False|False|6|159|3
553|4(2, 0)|4|2|False|False|3|268|4
554|5(0(0), 0)|5|2|False|False|6|293|5
555|6(1, 0)|6|2|False|False|3|523|6
556|7(0, 0)|7|2|False|False|3|522|7
557|0(0, 0, 0(0, 0))|0|3|True|False|61|63|0
558|0(0, 1, 1(0))|0|3|True|True|21|116|1
559|0(1, 0, 1(0))|0|3|True|False|21|113|1
560|1(0, 0, 1(0))|1|3|False|False|21|109|1
561|0(0, 0(0), 0(1))|0|3|True|True|58|126|1
562|0(1, 1, 0(1))|0|3|True|False|21|213|1
563|1(0, 1, 0(1))|1|3|False|True|21|203|1
564|0(0(0), 0, 0(1))|0|3|True|False|49|126|1
565|1(1, 0, 0(1))|1|3|False|False|21|200|1
566|2(0, 0, 0(1))|2|3|False|False|21|196|2
567|0(0, 2, 2)|0|3|False|False|8|189|2
568|0(1, 0(0), 2)|0|3|True|True|20|216|2
569|1(0, 0(0), 2)|1|3|False|True|20|206|2
570|0(0(0), 1, 2)|0|3|True|False|17|225|2
571|1(1, 1, 2)|1|3|False|False|8|321|2
572|2(0, 1, 2)|2|3|False|True|8|311|2
573|0(2, 0, 2)|0|3|False|False|8|182|2
574|1(0(0), 0, 2)|1|3|False|False|17|206|2
575|2(1, 0, 2)|2|3|False|False|8|308|2
576|3(0, 0, 2)|3|3|False|False|8|302|3
577|0(0, 0(1), 0(0))|0|3|True|False|58|124|1
578|0(1, 2, 0(0))|0|3|True|False|21|211|2
579|1(0, 2, 0(0))|1|3|False|False|21|201|2
580|0(0(0), 0(0), 0(0))|0|3|True|False|148|127|0
581|1(1, 0(0), 0(0))|1|3|False|False|58|228|1
582|2(0, 0(0), 0(0))|2|3|False|False|58|227|2
583|0(2, 1, 0(0))|0|3|False|False|21|208|2
584|1(0(0), 1, 0(0))|1|3|False|False|49|230|1
585|2(1, 1, 0(0))|2|3|False|False|21|355|2
586|3(0, 1, 0(0))|3|3|False|True|21|351|3
587|0(0(1), 0, 0(0))|0|3|True|False|49|123|1
588|1(2, 0, 0(0))|1|3|False|False|21|197|2
589|2(0(0), 0, 0(0))|2|3|False|False|49|227|2
590|3(1, 0, 0(0))|3|3|False|False|21|350|3
591|4(0, 0, 0(0))|4|3|False|False|21|349|4
592|0(0, 1(0), 1)|0|3|True|False|20|117|1
593|0(1, 0(1), 1)|0|3|True|False|20|215|1
594|1(0, 0(1), 1)|1|3|False|False|20|205|1
595|0(0(0), 2, 1)|0|3|False|False|17|224|2
596|1(1, 2, 1)|1|3|False|False|8|320|2
597|2(0, 2, 1)|2|3|False|False|8|310|2
598|0(2, 0(0), 1)|0|3|False|False|20|210|2
599|1(0(0), 0(0), 1)|1|3|False|False|48|232|1
600|2(1, 0(0), 1)|2|3|False|False|20|357|2
601|3(0, 0(0), 1)|3|3|False|False|20|353|3
602|0(0(1), 1, 1)|0|3|True|False|17|221|1
603|1(2, 1, 1)|1|3|False|False|8|317|2
604|2(0(0), 1, 1)|2|3|False|False|17|362|2
605|3(1, 1, 1)|3|3|False|False|8|572|3
606|4(0, 1, 1)|4|3|False|False|8|566|4
607|0(1(0), 0, 1)|0|3|True|False|17|114|1
608|1(0(1), 0, 1)|1|3|False|False|17|203|1
609|2(2, 0, 1)|2|3|False|False|8|305|2
610|3(0(0), 0, 1)|3|3|False|False|17|353|3
611|4(1, 0, 1)|4|3|False|False|8|564|4
612|5(0, 0, 1)|5|3|False|False|8|561|5
613|0(0, 0(0, 0), 0)|0|3|True|False|57|63|0
614|0(1, 1(0), 0)|0|3|True|False|20|112|1
615|1(0, 1(0), 0)|1|3|False|False|20|108|1
616|0(0(0), 0(1), 0)|0|3|True|False|48|125|1
617|1(1, 0(1), 0)|1|3|False|False|20|199|1
618|2(0, 0(1), 0)|2|3|False|False|20|195|2
619|0(2, 2, 0)|0|3|False|False|8|180|2
620|1(0(0), 2, 0)|1|3|False|False|17|204|2
621|2(1, 2, 0)|2|3|False|False|8|306|2
622|3(0, 2, 0)|3|3|False|False|8|300|3
623|0(0(1), 0(0), 0)|0|3|True|False|48|123|1
624|1(2, 0(0), 0)|1|3|False|False|20|197|2
625|2(0(0), 0(0), 0)|2|3|False|False|48|227|2
626|3(1, 0(0), 0)|3|3|False|False|20|350|3
627|4(0, 0(0), 0)|4|3|False|False|20|349|4
628|0(1(0), 1, 0)|0|3|True|False|17|113|1
629|1(0(1), 1, 0)|1|3|False|False|17|202|1
630|2(2, 1, 0)|2|3|False|False|8|304|2
631|3(0(0), 1, 0)|3|3|False|False|17|352|3
632|4(1, 1, 0)|4|3|False|False|8|563|4
633|5(0, 1, 0)|5|3|False|False|8|560|5
634|0(0(0, 0), 0, 0)|0|3|True|False|45|63|0
635|1(1(0), 0, 0)|1|3|False|False|17|107|1
636|2(0(1), 0, 0)|2|3|False|False|17|194|2
637|3(2, 0, 0)|3|3|False|False|8|297|3
638|4(0(0), 0, 0)|4|3|False|False|17|349|4
639|5(1, 0, 0)|5|3|False|False|8|559|5
640|6(0, 0, 0)|6|3|False|False|8|558|6
641|0(0, 0, 0, 1(0))|0|4|True|False|63|125|1
642|0(0, 0, 1, 0(1))|0|4|True|False|63|244|1
643|0(0, 1, 0, 0(1))|0|4|True|False|63|241|1
644|0(1, 0, 0, 0(1))|0|4|True|False|63|237|1
645|1(0, 0, 0, 0(1))|1|4|False|False|63|232|1
646|0(0, 0, 0(0), 2)|0|4|False|False|62|247|2
647|0(0, 1, 1, 2)|0|4|True|False|22|412|2
648|0(1, 0, 1, 2)|0|4|True|False|22|402|2
649|1(0, 0, 1, 2)|1|4|False|False|22|382|2
650|0(0, 0(0), 0, 2)|0|4|False|False|59|247|2
651|0(1, 1, 0, 2)|0|4|True|False|22|399|2
652|1(0, 1, 0, 2)|1|4|False|False|22|379|2
653|0(0(0), 0, 0, 2)|0|4|False|False|50|247|2
654|1(1, 0, 0, 2)|1|4|False|False|22|373|2
655|2(0, 0, 0, 2)|2|4|False|False|22|363|2
656|0(0, 0, 2, 0(0))|0|4|False|False|63|242|2
657|0(0, 1, 0(0), 0(0))|0|4|True|False|190|250|1
658|0(1, 0, 0(0), 0(0))|0|4|True|False|190|249|1
659|1(0, 0, 0(0), 0(0))|1|4|False|False|190|248|1
660|0(0, 0(0), 1, 0(0))|0|4|True|False|181|252|1
661|0(1, 1, 1, 0(0))|0|4|True|False|63|446|1
662|1(0, 1, 1, 0(0))|1|4|False|False|63|431|1
663|0(0(0), 0, 1, 0(0))|0|4|True|False|153|252|1
664|1(1, 0, 1, 0(0))|1|4|False|False|63|427|1
665|2(0, 0, 1, 0(0))|2|4|False|False|63|422|2
666|0(0, 2, 0, 0(0))|0|4|False|False|63|238|2
667|0(1, 0(0), 0, 0(0))|0|4|True|False|181|249|1
668|1(0, 0(0), 0, 0(0))|1|4|False|False|181|248|1
669|0(0(0), 1, 0, 0(0))|0|4|True|False|153|251|1
670|1(1, 1, 0, 0(0))|1|4|False|False|63|426|1
671|2(0, 1, 0, 0(0))|2|4|False|False|63|421|2
672|0(2, 0, 0, 0(0))|0|4|False|False|63|233|2
673|1(0(0), 0, 0, 0(0))|1|4|False|False|153|248|1
674|2(1, 0, 0, 0(0))|2|4|False|False|63|420|2
675|3(0, 0, 0, 0(0))|3|4|False|False|63|419|3
676|0(0, 0, 0(1), 1)|0|4|True|False|62|246|1
677|0(0, 1, 2, 1)|0|4|True|False|22|411|2
678|0(1, 0, 2, 1)|0|4|True|False|22|401|2
679|1(0, 0, 2, 1)|1|4|False|False|22|381|2
680|0(0, 0(0), 0(0), 1)|0|4|True|False|180|254|1
681|0(1, 1, 0(0), 1)|0|4|True|False|62|448|1
682|1(0, 1, 0(0), 1)|1|4|False|False|62|433|1
683|0(0(0), 0, 0(0), 1)|0|4|True|False|152|254|1
684|1(1, 0, 0(0), 1)|1|4|False|False|62|429|1
685|2(0, 0, 0(0), 1)|2|4|False|False|62|424|2
686|0(0, 2, 1, 1)|0|4|False|False|22|408|2
687|0(1, 0(0), 1, 1)|0|4|True|False|59|453|1
688|1(0, 0(0), 1, 1)|1|4|False|False|59|438|1
689|0(0(0), 1, 1, 1)|0|4|True|False|50|469|1
690|1(1, 1, 1, 1)|1|4|False|False|22|691|1
691|2(0, 1, 1, 1)|2|4|False|False|22|671|2
692|0(2, 0, 1, 1)|0|4|False|False|22|392|2
693|1(0(0), 0, 1, 1)|1|4|False|False|50|438|1
694|2(1, 0, 1, 1)|2|4|False|False|22|665|2
695|3(0, 0, 1, 1)|3|4|False|False|22|655|3
696|0(0, 0(1), 0, 1)|0|4|True|False|59|244|1
697|0(1, 2, 0, 1)|0|4|True|False|22|396|2
698|1(0, 2, 0, 1)|1|4|False|False|22|376|2
699|0(0(0), 0(0), 0, 1)|0|4|True|False|149|254|1
700|1(1, 0(0), 0, 1)|1|4|False|False|59|429|1
701|2(0, 0(0), 0, 1)|2|4|False|False|59|424|2
702|0(2, 1, 0, 1)|0|4|False|False|22|390|2
703|1(0(0), 1, 0, 1)|1|4|False|False|50|436|1
704|2(1, 1, 0, 1)|2|4|False|False|22|663|2
705|3(0, 1, 0, 1)|3|4|False|False|22|653|3
706|0(0(1), 0, 0, 1)|0|4|True|False|50|241|1
707|1(2, 0, 0, 1)|1|4|False|False|22|367|2
708|2(0(0), 0, 0, 1)|2|4|False|False|50|424|2
709|3(1, 0, 0, 1)|3|4|False|False|22|650|3
710|4(0, 0, 0, 1)|4|4|False|False|22|646|4
711|0(0, 0, 1(0), 0)|0|4|True|False|62|124|1
712|0(0, 1, 0(1), 0)|0|4|True|False|62|240|1
713|0(1, 0, 0(1), 0)|0|4|True|False|62|236|1
714|1(0, 0, 0(1), 0)|1|4|False|False|62|231|1
715|0(0, 0(0), 2, 0)|0|4|False|False|59|245|2
716|0(1, 1, 2, 0)|0|4|True|False|22|397|2
717|1(0, 1, 2, 0)|1|4|False|False|22|377|2
718|0(0(0), 0, 2, 0)|0|4|False|False|50|245|2
719|1(1, 0, 2, 0)|1|4|False|False|22|371|2
720|2(0, 0, 2, 0)|2|4|False|False|22|361|2
721|0(0, 2, 0(0), 0)|0|4|False|False|62|238|2
722|0(1, 0(0), 0(0), 0)|0|4|True|False|180|249|1
723|1(0, 0(0), 0(0), 0)|1|4|False|False|180|248|1
724|0(0(0), 1, 0(0), 0)|0|4|True|False|152|251|1
725|1(1, 1, 0(0), 0)|1|4|False|False|62|426|1
726|2(0, 1, 0(0), 0)|2|4|False|False|62|421|2
727|0(2, 0, 0(0), 0)|0|4|False|False|62|233|2
728|1(0(0), 0, 0(0), 0)|1|4|False|False|152|248|1
729|2(1, 0, 0(0), 0)|2|4|False|False|62|420|2
730|3(0, 0, 0(0), 0)|3|4|False|False|62|419|3
731|0(0, 0(1), 1, 0)|0|4|True|False|59|243|1
732|0(1, 2, 1, 0)|0|4|True|False|22|395|2
733|1(0, 2, 1, 0)|1|4|False|False|22|375|2
734|0(0(0), 0(0), 1, 0)|0|4|True|False|149|253|1
735|1(1, 0(0), 1, 0)|1|4|False|False|59|428|1
736|2(0, 0(0), 1, 0)|2|4|False|False|59|423|2
737|0(2, 1, 1, 0)|0|4|False|False|22|389|2
738|1(0(0), 1, 1, 0)|1|4|False|False|50|435|1
739|2(1, 1, 1, 0)|2|4|False|False|22|662|2
740|3(0, 1, 1, 0)|3|4|False|False|22|652|3
741|0(0(1), 0, 1, 0)|0|4|True|False|50|240|1
742|1(2, 0, 1, 0)|1|4|False|False|22|366|2
743|2(0(0), 0, 1, 0)|2|4|False|False|50|423|2
744|3(1, 0, 1, 0)|3|4|False|False|22|649|3
745|4(0, 0, 1, 0)|4|4|False|False|22|645|4
746|0(0, 1(0), 0, 0)|0|4|True|False|59|123|1
747|0(1, 0(1), 0, 0)|0|4|True|False|59|235|1
748|1(0, 0(1), 0, 0)|1|4|False|False|59|230|1
749|0(0(0), 2, 0, 0)|0|4|False|False|50|242|2
750|1(1, 2, 0, 0)|1|4|False|False|22|368|2
751|2(0, 2, 0, 0)|2|4|False|False|22|358|2
752|0(2, 0(0), 0, 0)|0|4|False|False|59|233|2
753|1(0(0), 0(0), 0, 0)|1|4|False|False|149|248|1
754|2(1, 0(0), 0, 0)|2|4|False|False|59|420|2
755|3(0, 0(0), 0, 0)|3|4|False|False|59|419|3
756|0(0(1), 1, 0, 0)|0|4|True|False|50|239|1
757|1(2, 1, 0, 0)|1|4|False|False|22|365|2
758|2(0(0), 1, 0, 0)|2|4|False|False|50|422|2
759|3(1, 1, 0, 0)|3|4|False|False|22|648|3
